AÑO_INICIO,NOMBRE,LAT,LNG,DESCRIPCION,ENTORNO,MONTO_CONTRATO,ETAPA,TIPO,COMUNA,JURISDICCION,MANO_OBRA,PORCENTAJE_AVANCE,ID,ETAPA_DETALLE,AREA_RESPONSABLE,BARRIO,CALLE_1,SECCION,MANZANA,PARCELA,DIRECCION,FECHA_INICIO,FECHA_FIN,PLAZO_MESES,IMAGEN_1,IMAGEN_2,IMAGEN_3,IMAGEN_4,LICITACION_OFERTA_EMPRESA,LICITACION_ANIO,BENEFICIARIOS,COMPROMISO,LINK_INTERNO,PLIEGO_DESCARGA,
2019,Obra 180 ´AMPLIACION Y REFACCION DE UNA SALA DE NIVEL INICIAL DE LA ESCUELA HONORIO PUEYRREDON´,-30.025162405182251100735388307,-68.125190814789436129004622392,,ARQUITECTURA,4738428.82,En ejecución,EDIFICIOS EDUCATIVOS,,Chimbas,,66.58,3201,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/09/2019,20/01/2020,5,,,,,LUCERO WIDMER. RICARDO MIGUEL,2019,,,,,
2019,Obra 142 B° PISMANTA III - 68 VIVIENDAS - DPTO. JACHAL - ADICIONAL CLOACAS,-31.725909553947707458096847822,-69.170975186029970624314803639,,VIVIENDA/HABITAT,4515181.02,Finalizada,OBRAS D EINFRAESTRUCTURA Y COMPLEMENTARIAS,,San José de Jáchal,,100,3084,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,15/04/2019,13/08/2019,4,,,,,SUYAI  S.R.L.,2017,,,,,
2019,Obra 127 Bº PADRE CARLOS BARBERO - 48 VIV. - DPTO. SAN MARTIN - ADICIONAL RELLENOS - MURO DE CONTENCION - CAMBIO DE PROYECTO,-31.421805025674727250711079885,-69.144117154593716236753852317,,VIVIENDA/HABITAT,4375090.49,Finalizada,OBRAS D EINFRAESTRUCTURA Y COMPLEMENTARIAS,,San Martin,,100,3116,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,26/03/2019,28/09/2019,6,,,,,GALVARINI & ASOCIADOS CONSTRUCCIONES  S.A,2018,,,,,
2019,Obra 213 AMPLIACION Y REFACCION ENI N°54-SEGUNDINO NAVARRO,-31.836434534106437829008872562,-67.691958772167986777298815412,,ARQUITECTURA,4337857.89,En ejecución,EDIFICIOS EDUCATIVOS,,25 de Mayo,,3.39,3212,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/12/2019,30/05/2020,6,,,,,MCG INGENIERIA  S.R.L.,2019,,,,,
2019,Obra 143 TRABAJOS PRELIMINARES A LA REMODELACION DEL EDIFICIO DE CALLE RIVADAVIA 30 OESTE,-30.72142549523305741551557564,-68.736345796444683679683627776,,ARQUITECTURA,4329424.01,Finalizada,EDIFICIOS PUBLICOS,,Capital,,100,3146,70.Finalizado,Dirección de Arquitectura,,,,,,,15/05/2019,13/08/2019,3,,,,,DAZ CONSTRUCCIONES  S.R.L.,2018,,,,,
2019,Obra 100 AMPLIACION Y REFACCION DE LA ESCUELA RAFAEL OBLIGADO,-30.896585707252359823939352735,-68.832295540868843714428798561,,ARQUITECTURA,4325253.23,Finalizada,EDIFICIOS EDUCATIVOS,,Zonda,,100,3076,70.Finalizado,Dirección de Infraestructura Escolar,,,,,,,01/03/2019,28/08/2019,6,,,,,GRUPO MEC  S.R.L.,2018,,,,,
2019,Obra 218 Redes media Presión B° Conjunto 9,-31.387789204211547953413466374,-68.631905957715219583817088761,,ENERGIA,4149990.62,En ejecución,DISTRIBUCION DE GAS,,Villa Bolaños (Médano de Oro),,0,3286,40.En Ejecución,Secretaría de Servicios Públicos,,,,,,,19/11/2019,18/03/2020,4,,,,,REGALADO BENITEZ. CARLOS ADOLFO,2019,,,,,
2019,Obra 165  ESC. GUEMES,-31.431652096155040932810406589,-67.705418260913577946903701591,,ARQUITECTURA,4057548.23,En ejecución,EDIFICIOS EDUCATIVOS,,Pocito,,66.42,3179,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/09/2019,30/01/2020,5,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2019,,,,,
2019,Obra 153 CONSTRUCCION DE UNA SALA DE NIVEL INICIAL ESC. JUAN LARREA,-30.178909922706104182222481728,-68.137058824034068654572343201,,ARQUITECTURA,3959603.08,Finalizada,EDIFICIOS EDUCATIVOS,,San Martin,,100,3165,70.Finalizado,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,28/11/2019,5,,,,,PM CONSTRUCCIONES  S.R.L.,2019,,,,,
2019,Obra 148 Ampliacion y Refaccion de  la Esc.Campaña del desierto,-30.257803439617690705820241304,-69.138066918830945441691248923,,ARQUITECTURA,3816042.67,Finalizada,EDIFICIOS EDUCATIVOS,,Capital,,100,3161,70.Finalizado,Dirección de Infraestructura Escolar,,,,,,,01/07/2019,28/11/2019,5,,,,,NARANJO. PEDRO ROLANDO,2019,,,,,
